time,ID,x,y,SEQ,SPEED,ID,time,distance
5.2,1,-82.847459,34.681322,51,10.153352,0,5.1,0.001010307
5.2,2,-82.848037,34.681919,51,8.444865,1,5.1,0.520371358
5.2,2,-82.846711,34.677368,51,6.397023,1,5.1,0.519484996
5.2,5,-82.844296,34.683741,51,2.49444,4,5.1,0.000212282
5.2,6,-82.845281,34.682736,51,0.254399,5,5.1,0
5.3,1,-82.847448,34.681323,52,10.302,0,5.2,0.001010307
5.3,2,-82.848036,34.681911,52,8.691491,1,5.2,0.520110991
5.3,2,-82.846707,34.677363,52,6.582489,1,5.2,0.519224711
5.3,5,-82.844296,34.683739,52,2.671094,4,5.2,0.000328866
5.3,6,-82.845281,34.682736,52,0.499155,5,5.2,7.81E-05
5.4,1,-82.847437,34.681324,53,10.560098,0,5.3,0.00110261
5.4,2,-82.848035,34.681903,53,8.88009,1,5.3,0.519764187
5.4,2,-82.846702,34.677359,53,6.719667,1,5.3,0.518878006
5.4,5,-82.844296,34.683736,53,2.80357,4,5.3,0.000212282
5.4,6,-82.84528,34.682736,53,0.727988,5,5.3,7.81E-05
5.5,1,-82.847425,34.681325,54,10.798323,0,5.4,0.00110261
5.5,2,-82.848034,34.681895,54,9.022653,1,5.4,0.51950436
5.5,2,-82.846698,34.677354,54,6.916917,1,5.4,0.518618253
5.5,5,-82.844296,34.683734,54,3.018612,4,5.4,0.000328866
5.5,6,-82.845279,34.682736,54,0.94416,5,5.4,0.000122911
5.6,1,-82.847413,34.681326,55,11.058212,0,5.5,0.00110261
5.6,2,-82.848033,34.681887,55,9.178919,1,5.5,0.519266325
5.6,2,-82.846693,34.677349,55,7.132866,1,5.5,0.518250682
5.6,5,-82.844296,34.683731,55,3.19299,4,5.5,0.000328866
5.6,6,-82.845278,34.682737,55,1.175845,5,5.5,0.000174563
5.7,1,-82.847401,34.681327,56,11.200022,0,5.6,0.001192882
5.7,2,-82.848031,34.681878,56,9.319497,1,5.6,0.518898968
5.7,2,-82.846688,34.677344,56,7.329632,1,5.6,0.518013056
5.7,5,-82.844296,34.683728,56,3.399449,4,5.6,0.000338004
5.7,6,-82.845276,34.682737,56,1.435008,5,5.6,0.000174563
5.8,1,-82.847388,34.681328,57,11.408871,0,5.7,0.00110261
5.8,2,-82.84803,34.68187,57,9.564632,1,5.7,0.518769618
5.8,2,-82.846683,34.677338,57,7.483117,1,5.7,0.517775804
5.8,5,-82.844295,34.683725,57,3.529871,4,5.7,0.000445286
5.8,6,-82.845274,34.682737,57,1.62286,5,5.7,0.000174563
5.9,1,-82.847376,34.681329,58,11.608696,0,5.8,0.001192882
5.9,2,-82.848029,34.681861,58,9.761265,1,5.8,0.518424612
5.9,2,-82.846678,34.677333,58,7.641192,1,5.8,0.517409114
5.9,5,-82.844295,34.683721,58,3.680194,4,5.8,0.000328866
5.9,6,-82.845272,34.682737,58,1.794726,5,5.8,0.000174563
6,1,-82.847363,34.68133,59,11.810647,0,5.9,0.001192882
6,2,-82.848027,34.681852,59,9.977997,1,5.9,0.518187983
6,2,-82.846672,34.677327,59,7.881257,1,5.9,0.517194414
6,5,-82.844295,34.683718,59,3.898148,4,5.9,0.000445286
6,6,-82.84527,34.682737,59,2.033408,5,5.9,0.000174563
6.1,1,-82.84735,34.681331,60,11.96642,0,6,0.001192881
6.1,2,-82.848026,34.681843,60,10.143988,1,6,0.517951716
6.1,2,-82.846667,34.677321,60,8.093611,1,6,0.516958273
6.1,5,-82.844295,34.683714,60,4.137658,4,6,0.000445286
6.1,6,-82.845268,34.682737,60,2.242425,5,6,0.000270431
6.1,7,-82.845332,34.681553,60,0,6,6,0
6.2,1,-82.847337,34.681332,61,12.211513,0,6.1,0.001283927
6.2,2,-82.848025,34.681834,61,10.328645,1,6.1,0.517629916
6.2,2,-82.846661,34.677316,61,8.250973,1,6.1,0.516506664
6.2,5,-82.844295,34.68371,61,4.384957,4,6.1,0.000445286
6.2,6,-82.845265,34.682737,61,2.486223,5,6.1,0.000286611
6.2,7,-82.845332,34.681553,61,0.257062,6,6.1,7.81E-05
